StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q16,Q5_4,Q5_5,Q5_6,Q6,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q7,Q8,Q13
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,consent_form,joel_descriptors,joel_descriptors,joel_descriptors,joel_amazingness,joel_version,"joel_movie - Dark comedy ",joel_movie - Historical,joel_movie - Romance,joel_movie - Sci-fi,joel_movie - Thriller,joel_movie - Mystery,joel_movie - Realist,joel_season,joel_goose,joel_bdaywishes,joel_conspiracy
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3"",""choiceId"":""1""}","{""ImportId"":""QID3"",""choiceId"":""2""}","{""ImportId"":""QID3"",""choiceId"":""3""}","{""ImportId"":""QID3"",""choiceId"":""4""}","{""ImportId"":""QID3"",""choiceId"":""5""}","{""ImportId"":""QID3"",""choiceId"":""6""}","{""ImportId"":""QID3"",""choiceId"":""7""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID13""}"
2021-09-12 13:26:35,2021-09-12 13:32:20,0,100,345,1,2021-09-12 13:32:21,R_1pL49bAJIWDoSx6,anonymous,EN,1,fun,intelligent,sarcastic,36,1,1,,,,,,1,7,2,304,1
2021-09-12 13:57:46,2021-09-12 13:59:01,0,100,74,1,2021-09-12 13:59:01,R_1ptCx23R6E4PmPM,anonymous,EN,1,life,love,charisma,36,4,1,1,,,,,,6,2,101,4
2021-09-12 15:10:02,2021-09-12 15:12:02,0,100,120,1,2021-09-12 15:12:03,R_XtD03JtbPh6KHjr,anonymous,EN,1,,,,36,2,1,,,,,,1,,2,37.2,1
2021-09-12 15:30:22,2021-09-12 15:33:07,0,100,165,1,2021-09-12 15:33:08,R_1HjiDjrAvqddwgx,anonymous,EN,1,sooooooooawesome,amazing,hurray,36,1,1,,,,,1,,7,2,100000000000005,3
2021-09-12 16:45:26,2021-09-12 16:46:53,0,100,87,1,2021-09-12 16:46:54,R_2QSVWTH6Y077j8C,anonymous,EN,1,Joel,Joel,Joel,36,4,1,,,,,1,,7,2,799,1
2021-09-12 16:52:15,2021-09-12 16:55:43,0,100,207,1,2021-09-12 16:55:43,R_Wpm3NP0kn1BnIat,anonymous,EN,1,funny,fun,smart,36,3,1,,,,,1,,5,2,37.2,1
2021-09-13 11:06:40,2021-09-13 11:14:47,0,100,486,1,2021-09-13 11:14:47,R_SZbE8jpUxMNIe9r,anonymous,EN,1,all-knowing,warm,competent,36,4,1,,,,,1,,5,2,37.2,2
2021-09-13 12:33:18,2021-09-13 12:37:15,0,100,237,1,2021-09-13 12:37:15,R_1iqvY2cbvkA9krp,anonymous,EN,1,smart,motivated,thoughtful,36,4,1,,,1,,,,7,2,48,3
2021-09-13 18:17:22,2021-09-13 18:25:26,0,100,484,1,2021-09-13 18:25:28,R_bxRDsw7Jck5xKmt,anonymous,EN,1,badass,remarkable,kindhearted,36,4,,,,,,1,1,6,1,1000000,1
2021-09-14 13:26:00,2021-09-14 13:30:43,0,100,283,1,2021-09-14 13:30:43,R_3nckToHCyt7OiMA,anonymous,EN,1,Thoughtful,Iconic,Smart,36,1,,,,,,,,,1,100,3
2021-09-14 13:36:24,2021-09-14 13:38:51,0,100,146,1,2021-09-14 13:38:51,R_3HGpYT74yg7zy40,anonymous,EN,1,"phenomenal ",iconic,kind,36,4,,,,,1,1,,6,2,43000,3
2021-09-15 13:41:38,2021-09-15 13:46:31,0,100,293,1,2021-09-15 13:46:32,R_NUWoEwdNw0bviNj,anonymous,EN,1,Joel,"Conscientious ",Extravert,36,3,1,,,,,,1,5,2,37.2,1
2021-09-15 22:00:53,2021-09-15 22:13:12,0,100,739,1,2021-09-15 22:13:12,R_3plH12C2StwuhF4,anonymous,EN,1,Thoughtful,Kind,Extroverted,36,1,,,,,,1,1,5,2,42,1
2021-09-17 08:36:50,2021-09-17 11:23:56,0,100,10025,1,2021-09-17 11:23:56,R_3nSPpoNahhwG3p3,anonymous,EN,1,brilliant,good-hearted,true,36,3,1,,,1,,,,7,2,2147483647,3
2021-09-17 11:33:40,2021-09-17 11:38:23,0,100,283,1,2021-09-17 11:38:23,R_2dRoTA9pB1bB0Zn,anonymous,EN,1,smart,conscientious,gay,36,4,1,,1,,,,,5,3,10000,3
2021-09-17 13:43:29,2021-09-17 13:50:44,0,100,434,1,2021-09-17 13:50:44,R_3q88yfERQSCID7g,anonymous,EN,1,Sagacious,Gregarious,Loquacious,36,1,,1,,,,,1,7,2,1010100,4
